id,venue,category
27,BMC plant biology,ISI Q1/Q2
29,Rice,ISI Q1/Q2
35,Sensors,ISI Q1/Q2
41,Sensors,ISI Q1/Q2
43,IEEE Transactions on Knowledge and Data Engineering,ISI Q1/Q2
59,PloS one,ISI Q1/Q2
79,ACM Transactions on Knowledge Discovery from Data (TKDD),ISI Q1/Q2
149,Information and Software Technology,ISI Q1/Q2
151,Informatica,ISI Q1/Q2
172,Fundamenta Informaticae,ISI Q1/Q2
176,PloS one,ISI Q1/Q2
194,Fuzzy Sets and Systems,ISI Q1/Q2
199,Journal of Intelligent & Fuzzy Systems,ISI Q1/Q2
244,JOURNAL OF INFORMATION,ISI Q1/Q2
245,JP Journal of Heat and Mass Transfer,ISI Q1/Q2
250,Database: the journal of biological databases and curation,ISI Q1/Q2
253,PLOS ONE,ISI Q1/Q2
271,IEEE Transactions on Magnetics,ISI Q1/Q2
272,IEEE Transactions on Magnetics,ISI Q1/Q2
273,IEEE Transactions on Magnetics,ISI Q1/Q2
274,IEEE transactions on magnetics,ISI Q1/Q2
275,IEEE transactions on magnetics,ISI Q1/Q2
276,IEEE transactions on magnetics,ISI Q1/Q2
277,IEEE transactions on magnetics,ISI Q1/Q2
287,IEEE Transactions on Industry Applications,ISI Q1/Q2
303,Journal of Neuroimmunology,ISI Q1/Q2
305,Neurosurgery,ISI Q1/Q2
316,AMERICAN JOURNAL OF TRANSPLANTATION,ISI Q1/Q2
330,Alcohol and Alcoholism,ISI Q1/Q2
352,Journal of Sandwich Structures & Materials,ISI Q1/Q2
354,Journal of Sandwich Structures & Materials,ISI Q1/Q2
356,Aerospace Science and Technology,ISI Q1/Q2
358,Proceedings of the Institution of Mechanical Engineers Part C: Journal of Mechanical Engineering Science,ISI Q1/Q2
359,THIN-WALLED STRUCTURES,ISI Q1/Q2
360,European Journal of Mechanics-A/Solids,ISI Q1/Q2
361,Journal of Mechanical Science and Technology,ISI Q1/Q2
376,Latin American Journal of Solids and Structures,ISI Q1/Q2
383,Mechanics of Advanced Materials and Structures,ISI Q1/Q2
386,Thin-Walled Structures,ISI Q1/Q2
433,Thin-walled structures,ISI Q1/Q2
435,International Journal of Structural Stability and Dynamics,ISI Q1/Q2
436,Thin-Walled Structures,ISI Q1/Q2
437,Steel and Composite Structures,ISI Q1/Q2
438,Materials,ISI Q1/Q2
439,Thin-Walled Structures,ISI Q1/Q2
440,International Journal of Structural Stability and Dynamics,ISI Q1/Q2
560,Language Resources and Evaluation,ISI Q1/Q2
578,Fundamenta Informaticae,ISI Q1/Q2
601,IEEE Signal Processing Letters,ISI Q1/Q2
602,Environmental pollution,ISI Q1/Q2
603,Environmental Research Letters,ISI Q1/Q2
604,Electronics letters,ISI Q1/Q2
605,IEEE Transactions on Consumer Electronics,ISI Q1/Q2
611,Journal of Imaging,ISI Q1/Q2
623,ETRI journal,ISI Q1/Q2
629,ETRI Journal,ISI Q1/Q2
637,IET Image Processing,ISI Q1/Q2
640,ETRI Journal,ISI Q1/Q2
646,Optical Engineering,ISI Q1/Q2
648,Expert Systems with Applications,ISI Q1/Q2
660,ETRI Journal,ISI Q1/Q2
677,Mathematics,ISI Q1/Q2
679,Swarm Intelligence,ISI Q1/Q2
698,Algorithms for Molecular Biology,ISI Q1/Q2
700,PloS one,ISI Q1/Q2
706,Electronics,ISI Q1/Q2
720,European Journal of Operational Research,ISI Q1/Q2
747,IEEE transactions on cybernetics,ISI Q1/Q2
760,Scientific Reports,ISI Q1/Q2
761,Scientific Reports,ISI Q1/Q2
764,Metals,ISI Q1/Q2
766,Current Applied Physics,ISI Q1/Q2
767,Materials Transactions,ISI Q1/Q2
768,Advanced Sustainable Systems,ISI Q1/Q2
769,Desalination,ISI Q1/Q2
770,Applied Physics Express,ISI Q1/Q2
774,Journal of alloys and compounds,ISI Q1/Q2
775,Sensors and actuators A: Physical,ISI Q1/Q2
776,Sensors and Actuators A: Physical,ISI Q1/Q2
778,Review of scientific instruments,ISI Q1/Q2
779,IEEE transactions on magnetics,ISI Q1/Q2
783,Applied physics letters,ISI Q1/Q2
784,Journal of magnetism and magnetic materials,ISI Q1/Q2
785,Review of Scientific Instruments,ISI Q1/Q2
787,Journal of Electronic Materials,ISI Q1/Q2
788,Journal of magnetism and magnetic materials,ISI Q1/Q2
789,Journal of magnetism and magnetic materials,ISI Q1/Q2
793,Journal of Magnetism and Magnetic materials,ISI Q1/Q2
794,Journal of magnetism and magnetic materials,ISI Q1/Q2
796,Journal of magnetism and magnetic materials,ISI Q1/Q2
798,Journal of alloys and compounds,ISI Q1/Q2
799,Journal of magnetism and magnetic materials,ISI Q1/Q2
800,Journal of magnetism and magnetic materials,ISI Q1/Q2
801,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
804,APL Materials,ISI Q1/Q2
807,Journal of magnetism and magnetic materials,ISI Q1/Q2
819,Optical Materials Express,ISI Q1/Q2
820,Scientific reports,ISI Q1/Q2
821,Advanced Engineering Materials,ISI Q1/Q2
822,Scientific reports,ISI Q1/Q2
823,Scientific Reports,ISI Q1/Q2
836,Ceramics International,ISI Q1/Q2
837,Journal of Alloys and Compounds,ISI Q1/Q2
838,IEEE transactions on magnetics,ISI Q1/Q2
841,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
885,Scientific reports,ISI Q1/Q2
886,Journal of crystal growth,ISI Q1/Q2
887,Materials Chemistry and Physics,ISI Q1/Q2
889,Journal of Nanomaterials,ISI Q1/Q2
891,Scientific reports,ISI Q1/Q2
892,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
896,ELECTRONICS,ISI Q1/Q2
906,Plasma Sources Science and Technology,ISI Q1/Q2
907,Journal of reinforced plastics and composites,ISI Q1/Q2
912,Advanced Composite Materials,ISI Q1/Q2
914,Advanced Composite Materials,ISI Q1/Q2
933,Advanced Materials,ISI Q1/Q2
934,Advanced Energy Materials,ISI Q1/Q2
935,Advanced Materials,ISI Q1/Q2
936,Advanced Energy Materials,ISI Q1/Q2
937,Advanced Energy Materials,ISI Q1/Q2
938,Energy Storage Materials,ISI Q1/Q2
939,Nanoscale,ISI Q1/Q2
940,Nanotechnology,ISI Q1/Q2
941,New Journal of Chemistry,ISI Q1/Q2
942,Journal of Electronic Materials,ISI Q1/Q2
943,Applied Physics Letters,ISI Q1/Q2
944,IEEE transactions on magnetics,ISI Q1/Q2
945,Journal of Electronic Materials,ISI Q1/Q2
946,MATERIALS TRANSACTIONS,ISI Q1/Q2
949,Applied Physics A,ISI Q1/Q2
953,Materials Transactions,ISI Q1/Q2
954,Materials Transactions,ISI Q1/Q2
957,Synthetic metals,ISI Q1/Q2
960,RSC Advances,ISI Q1/Q2
961,Int. J. Innov. Comput. Inf. Control,ISI Q1/Q2
974,Applied Nanoscience,ISI Q1/Q2
990,Journal of Alloys and Compounds,ISI Q1/Q2
